1,endsaiku_o,広がるだいしゅきほーるどの輪°+\x{2661}:.(っ＞ω＜c).:\x{2661}+°,1,0
2,developxezxlhij,けいです。ツイッター始めたのでよろしくおねがいします。,1,0
3,mokona0846,,1,0
4,aicxdvhy,,1,0
5,gamebaka__231,アニメやテレビ番組見ながらグダグダ呟いたり無双とか討鬼伝とかいろいろ呟きます。空リプや独り言、愚痴過多。すごくうるさいうえにハードなこともズバズバ言っちゃいますのでご注意くださいませ。不愉快でしたらブロックお願い致します。 まぁほぼ討鬼伝垢です。愛姫ちゃんに下郎と罵られたい人生でしたね,1,0
6,ApinkApp,\x{2661}2014.12.18\x{2661}すひょんさんからリプ「さらんへ\x{2661}」2015.01.04くみっきー2015.01.06ゆうみんみずきてぃ「夢は理想の自分。自分らしさを大切にしたいずっと 何言われても、何があってもすきなものはすきなの。 もえかは妹。ゆうかは双子。《@JuN97L》おっぱ~\x{2764}\x{fe0f} 出逢えてよかった。ほんとに毎日幸せ。,1,0
7,bravo8887,ツイッター初心者です。皆さんよろしくお願い致します。,2,0
8,kikuriso_jp,彩果 0720 結愛ちゃん1231,1,0
9,crazy_onchanbot,北海道テレビのマスコットキャラonちゃんのbot(非公式)です。キャラ崩壊が著しいので純粋なonちゃんファンの方はフォロー非推奨です。水曜どうでしょうネタ多めです。自動でフォローバックします。作者→@matildababy  ,1,0
10,ruta__1210,［無言フォローさよなら］                                       Like：絵描き/文書き/読書/写真/製本/ﾎﾓｫ…                      ※結構毒舌なので苦手な方は要注意※,2,0
11,ChristyPeattie,,1,0
12,kt38kt38,,1,0
13,Uw_abcS,音楽大好きヒューマン。イラストは描いたり消したり。 ピアノも弾いたり。ディーステオウヨウムゲムゲゴー！！フォローの際はツイプロ必見→【http://t.co/GKGLT6efHH】,1,0
14,white_chaser,    E-JZX100ﾁｪｲｻｰ  ﾂｱﾗｰv  後期仕様  平成10年3月生まれ  E-girls/西野カナ/SPYAIR/ONE OK ROCK/R指定/ｱﾝｶﾌｪ,1,0
15,kitaado_srf,アドアーズ北口店に存在するチンパンジーの鳴き声を集めたBotです。追加して欲しいセリフあったら教えてください。,1,0
