1,検定全然勉強してない(´へωへ`*)
2,Ｋｒｕｓｈとプロレスの二冠王者・朱里がＫ１参戦へ（スポーツナビ）⇒詳細: http://t.co/TsSpyXNy9o
3,我の睡眠は何処へやら
4,中田英寿のファッションが海外で絶賛されまくってる  現場復帰への期待も…   http://t.co/2Cx5T2lHqU
5,@sweet_Hhje_ おつー！！
6,@asamicoco428 ふぉとじょお疲れ様ですた。久しぶりに愛に行けてちょー楽しかったです♪ついったーふぉろーよろぴく
7,@yusuke19941113 (つA`)ｵﾔｽﾐｰ
8,@namamomo おはよー！おはよー！そこにいるのー？まぶしー！まぶしー！夢があるの！冒険が＼ハイ！／挑戦を＼ハイ！／つ・れ・て・き・たー＼問☆題☆解☆決☆／＼( n∀o)＞ ＼(n∀o)／ ＼(n∀o)／ ＜(n∀o)／
9,そーか可哀想
10,ﾚﾝｼﾞ内をそ綺麗にしたいときは酢を器に入れて３分くらい温めると酢が蒸発し酸性によりコゲや汚れが落ちやすい。
11,@egurina75 そーそー！
12,@JZX100_ponpoco そーなのかww 頑張って(*´ω｀*)
13,ずぇあ「肉便器にしてえ……(セストを見ながら)」
14,@oresama_t_bot え！！？俺！？
15,@shotaroo0102 ちえぽんです 真顔
16,え、、、うそ、、、３時
17,えｗｗｗアドルフさん全裸フラグｗｗｗｗ
18,やすくて保安灯くらいの明るさがほちい
19,しずしほが穏やかとか穏やかじゃない
20,ほ、包丁持ってやがるぜ…危ねぇ野郎だ…
21,紅緒「ぐーちょきぱーで^^ぐーちょきぱーで^^なにつくろ？^^なにつくろ？^^」 紅緒「右手はグーで^^左手もグーで^^」 椎「たーいほー^^たーいほー^^」
22,@fofoyfooooll ほ@@K_D_M55おやすみ。また明日もよろしく頼むぜ！！
23,@minaki_hxh ひーーー！完成楽しみにお待ちしてます！！！(/ω＼*)漫画も楽しみだしカウボーイも楽しみだし、幸せです明日も生きます！ でもちゃんと寝てくださいねーーーっ（笑）
24,@if_0x0 ひゃwwwwwwwww 白目向いてるようにしか見えんwwwwwwwwwwwwwwwwww
25,@okzktmy おやひゅみ
